event_id,method,auprc,roc_auc,localization_error_seconds,within_0p15,within_0p30,within_0p60,top_1pct_recall,false_positive_burden,calibration_error,ablation
EDR020,nonlinear_invariant,0.8375757575757576,0.9968333333333333,5.46,False,False,False,0.3,0.020678149168165422,0.041296606972805364,pressure_only
EDR020,sparse_invariant,0.6449999999999999,0.9793333333333334,0.3899999999999997,False,False,True,0.3,0.036181991630014974,0.025676336053845093,pressure_only
EDR021,nonlinear_invariant,0.1685531245562703,0.770327868852459,3.99,False,False,False,0.1,0.01802128039196218,0.015084632176069535,pressure_only
EDR021,sparse_invariant,0.10277091458755895,0.8144262295081968,2.0700000000000003,False,False,False,0.0,0.03837444740725833,0.006729174591553049,pressure_only
EDR022,nonlinear_invariant,0.5334451324389404,0.9233333333333333,0.6299999999999999,False,False,False,0.5,0.015508169387901694,0.013024637507207382,pressure_only
EDR022,sparse_invariant,0.39628933444722914,0.9494444444444444,0.41999999999999993,False,False,True,0.3333333333333333,0.03757634554194234,0.028553256228582985,pressure_only
EDR023,nonlinear_invariant,0.3638372893016856,0.9658333333333333,2.3400000000000003,False,False,False,0.0,0.027689933049480028,0.031115956267297545,pressure_only
EDR023,sparse_invariant,0.6677849927849927,0.9473333333333334,0.27000000000000046,False,True,True,0.4,0.037706180877008014,0.023453896963951778,pressure_only
EDR025,nonlinear_invariant,0.3096518194033899,0.88993399339934,0.33000000000000007,False,False,True,0.4,0.028544662719353672,0.028327134133541862,pressure_only
EDR025,sparse_invariant,0.3170649765770693,0.9382838283828383,3.0600000000000005,False,False,False,0.1,0.03989585812031331,0.019319819865233456,pressure_only
EDR028,nonlinear_invariant,0.060388775482431434,0.5783333333333334,0.54,False,False,True,0.14285714285714285,0.020563056092665937,0.0018483412937335053,pressure_only
EDR028,sparse_invariant,0.03727425216148683,0.6071428571428571,2.16,False,False,False,0.0,0.0377037799019831,0.014896578219390588,pressure_only
EDR034,nonlinear_invariant,0.11468252178986779,0.7718333333333334,0.7800000000000002,False,False,False,0.0,0.016676383644552727,0.019026971265026123,pressure_only
EDR034,sparse_invariant,0.042610299894613665,0.6193333333333333,2.85,False,False,False,0.0,0.035239892748727554,0.0029727836584650252,pressure_only
EDR035,nonlinear_invariant,0.3051553590538032,0.8936666666666666,1.62,False,False,False,0.3,0.012937478836539675,0.0182772299845964,pressure_only
EDR035,sparse_invariant,0.4848919284025667,0.9046666666666667,0.1800000000000006,False,True,True,0.3,0.03537247476653339,0.019285401501753816,pressure_only
EDR041,nonlinear_invariant,0.30576354679802953,0.869,1.0499999999999998,False,False,False,0.4,0.019482605723715074,0.010175510749132257,pressure_only
EDR041,sparse_invariant,0.17239032303568913,0.8720000000000001,0.41999999999999993,False,False,True,0.2,0.033997504476217376,0.01769766292793511,pressure_only
EDR054,nonlinear_invariant,0.748452380952381,0.9363934426229508,0.0600000000000005,True,True,True,0.4,0.010516532562799082,0.019201261663658587,pressure_only
EDR054,sparse_invariant,0.6530144967278947,0.9199999999999999,0.03000000000000025,True,True,True,0.4,0.03170138339799896,0.00575413455823974,pressure_only
EDR060,nonlinear_invariant,0.03395338687150838,0.4436065573770492,5.76,False,False,False,0.0,0.023096683436621128,0.0069598821455722475,pressure_only
EDR060,sparse_invariant,0.018608973942777995,0.5081967213114754,3.5700000000000003,False,False,False,0.0,0.04230832552237473,0.02608055994139275,pressure_only
EDR064,nonlinear_invariant,0.338228021291037,0.76,0.03000000000000025,True,True,True,0.3,0.01337663282584953,0.017464753969829792,pressure_only
EDR064,sparse_invariant,0.3295692646843542,0.7909999999999999,0.03000000000000025,True,True,True,0.2,0.03432614945645927,0.008265612757286038,pressure_only
EDR066,nonlinear_invariant,0.7968013468013468,0.9522222222222222,0.0,True,True,True,0.4444444444444444,0.01230530770939455,0.014846127789806469,pressure_only
EDR066,sparse_invariant,0.7499400996741422,0.9544444444444444,0.05999999999999961,True,True,True,0.4444444444444444,0.03300243037751917,0.025832220966992444,pressure_only
EDR072,nonlinear_invariant,0.865079365079365,0.9933333333333334,0.33000000000000007,False,False,True,0.5714285714285714,0.013411452732095293,0.014915211780718484,pressure_only
EDR072,sparse_invariant,0.7967867998263134,0.9771428571428572,0.03000000000000025,True,True,True,0.5714285714285714,0.0341544751925787,0.017845372359827603,pressure_only
